GIORNATA,DATA,ORARIO,SQUADRA1,SQUADRA2,RISULTATO FINALE
32,13-04-2025,15:00,Fiorentina,Parma,0-0
32,13-04-2025,15:00,Verona,Genoa,0-0
32,13-04-2025,18:00,Como,Torino,1-0
32,13-04-2025,20:45,Lazio,Roma,1-1
32,14-04-2025,20:45,Napoli,Empoli,3-0
1,19-08-2023,18:30,Empoli,Verona,0-1
1,19-08-2023,18:30,Frosinone,Napoli,1-3
1,19-08-2023,20:45,Genoa,Fiorentina,1-4
1,19-08-2023,20:45,Inter,Monza,2-0
1,20-08-2023,18:30,Roma,Salernitana,2-2
1,20-08-2023,18:30,Sassuolo,Atalanta,0-2
1,20-08-2023,20:45,Lecce,Lazio,2-1
1,20-08-2023,20:45,Udinese,Juventus,0-3
1,21-08-2023,18:30,Torino,Cagliari,0-0
1,21-08-2023,20:45,Bologna,Milan,0-2
2,26-08-2023,18:30,Frosinone,Atalanta,2-1
2,26-08-2023,18:30,Monza,Empoli,2-0
2,26-08-2023,20:45,Verona,Roma,2-1
2,26-08-2023,20:45,Milan,Torino,4-1
2,27-08-2023,18:30,Fiorentina,Lecce,2-2
2,27-08-2023,18:30,Juventus,Bologna,1-1
2,27-08-2023,20:45,Lazio,Genoa,0-1
2,27-08-2023,20:45,Napoli,Sassuolo,2-0
2,28-08-2023,18:30,Salernitana,Udinese,1-1
2,28-08-2023,20:45,Cagliari,Inter,0-2
3,01-09-2023,18:30,Sassuolo,Verona,3-1
3,01-09-2023,20:45,Roma,Milan,1-2
3,02-09-2023,18:30,Bologna,Cagliari,2-1
3,02-09-2023,18:30,Udinese,Frosinone,0-0
3,02-09-2023,20:45,Atalanta,Monza,3-0
3,02-09-2023,20:45,Napoli,Lazio,1-2
3,03-09-2023,18:30,Inter,Fiorentina,4-0
3,03-09-2023,18:30,Torino,Genoa,1-0
3,03-09-2023,20:45,Empoli,Juventus,0-2
3,03-09-2023,20:45,Lecce,Salernitana,2-0
4,16-09-2023,15:00,Juventus,Lazio,3-1
4,16-09-2023,18:00,Inter,Milan,5-1
4,16-09-2023,20:45,Genoa,Napoli,2-2
4,17-09-2023,12:30,Cagliari,Udinese,0-0
4,17-09-2023,15:00,Frosinone,Sassuolo,4-2
4,17-09-2023,15:00,Monza,Lecce,1-1
4,17-09-2023,18:00,Fiorentina,Atalanta,3-2
4,17-09-2023,20:45,Roma,Empoli,7-0
4,18-09-2023,18:30,Salernitana,Torino,0-3
4,18-09-2023,20:45,Verona,Bologna,0-0
5,22-09-2023,18:30,Salernitana,Frosinone,1-1
5,22-09-2023,20:45,Lecce,Genoa,1-0
5,23-09-2023,15:00,Milan,Verona,1-0
5,23-09-2023,18:00,Sassuolo,Juventus,4-2
5,23-09-2023,20:45,Lazio,Monza,1-1
5,24-09-2023,12:30,Empoli,Inter,0-1
5,24-09-2023,15:00,Atalanta,Cagliari,2-0
5,24-09-2023,15:00,Udinese,Fiorentina,0-2
5,24-09-2023,18:00,Bologna,Napoli,0-0
5,24-09-2023,20:45,Torino,Roma,1-1
6,26-09-2023,20:45,Juventus,Lecce,1-0
6,27-09-2023,18:30,Cagliari,Milan,1-3
6,27-09-2023,18:30,Empoli,Salernitana,1-0
6,27-09-2023,18:30,Verona,Atalanta,0-1
6,27-09-2023,20:45,Inter,Sassuolo,1-2
6,27-09-2023,20:45,Lazio,Torino,2-0
6,27-09-2023,20:45,Napoli,Udinese,4-1
6,28-09-2023,18:30,Frosinone,Fiorentina,1-1
6,28-09-2023,18:30,Monza,Bologna,0-0
6,28-09-2023,20:45,Genoa,Roma,4-1
7,30-09-2023,15:00,Lecce,Napoli,0-4
7,30-09-2023,18:00,Milan,Lazio,2-0
7,30-09-2023,20:45,Salernitana,Inter,0-4
7,01-10-2023,12:30,Bologna,Empoli,3-0
7,01-10-2023,15:00,Udinese,Genoa,2-2
7,01-10-2023,20:45,Atalanta,Juventus,0-0
7,01-10-2023,20:45,Roma,Frosinone,2-0
7,02-10-2023,18:30,Sassuolo,Monza,0-1
7,02-10-2023,18:30,Torino,Verona,0-0
7,02-10-2023,20:45,Fiorentina,Cagliari,3-0
8,06-10-2023,18:30,Empoli,Udinese,0-0
8,06-10-2023,20:45,Lecce,Sassuolo,1-1
8,07-10-2023,15:00,Inter,Bologna,2-2
8,07-10-2023,18:00,Juventus,Torino,2-0
8,07-10-2023,20:45,Genoa,Milan,0-1
8,08-10-2023,12:30,Monza,Salernitana,3-0
8,08-10-2023,15:00,Frosinone,Verona,2-1
8,08-10-2023,15:00,Lazio,Atalanta,3-2
8,08-10-2023,18:00,Cagliari,Roma,1-4
8,08-10-2023,20:45,Napoli,Fiorentina,1-3
9,21-10-2023,15:00,Verona,Napoli,1-3
9,21-10-2023,18:00,Torino,Inter,0-3
9,21-10-2023,20:45,Sassuolo,Lazio,0-2
9,22-10-2023,12:30,Roma,Monza,1-0
9,22-10-2023,15:00,Bologna,Frosinone,2-1
9,22-10-2023,15:00,Salernitana,Cagliari,2-2
9,22-10-2023,18:00,Atalanta,Genoa,2-0
9,22-10-2023,20:45,Milan,Juventus,0-1
9,23-10-2023,18:30,Udinese,Lecce,1-1
9,23-10-2023,20:45,Fiorentina,Empoli,0-2
10,27-10-2023,20:45,Genoa,Salernitana,1-0
10,28-10-2023,15:00,Sassuolo,Bologna,1-1
10,28-10-2023,18:00,Lecce,Torino,0-1
10,28-10-2023,20:45,Juventus,Verona,1-0
10,29-10-2023,12:30,Cagliari,Frosinone,4-3
10,29-10-2023,15:00,Monza,Udinese,1-1
10,29-10-2023,18:00,Inter,Roma,1-0
10,29-10-2023,20:45,Napoli,Milan,2-2
10,30-10-2023,18:30,Empoli,Atalanta,0-3
